,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose
341,26,female,1,rent,little,little,3599,21,furniture/equipment
342,25,male,2,rent,quite rich,moderate,3213,18,radio/TV
343,33,male,3,own,little,moderate,4439,18,business
344,37,male,1,own,little,rich,3949,10,car
345,43,female,1,own,little,NA,1459,15,radio/TV
346,23,male,2,own,little,moderate,882,13,radio/TV
347,23,female,0,rent,quite rich,moderate,3758,24,radio/TV
348,34,male,1,own,moderate,NA,1743,6,business
349,32,male,2,free,rich,moderate,1136,9,education
350,23,female,2,rent,little,NA,1236,9,domestic appliances
351,29,female,2,own,little,moderate,959,9,furniture/equipment
352,38,male,3,own,NA,NA,3229,18,car
353,28,male,2,rent,little,little,6199,12,radio/TV
354,46,male,2,free,quite rich,NA,727,10,education
355,23,male,1,own,little,moderate,1246,24,car
356,49,male,2,own,NA,NA,2331,12,radio/TV
357,26,male,3,own,little,NA,4463,36,radio/TV
358,28,male,2,own,little,NA,776,12,radio/TV
359,23,female,2,rent,little,little,2406,30,furniture/equipment
360,61,male,2,free,NA,moderate,1239,18,education
361,37,male,3,own,NA,rich,3399,12,radio/TV
362,36,female,2,own,little,rich,2247,12,car
363,21,male,2,rent,little,NA,1766,6,furniture/equipment
364,25,male,0,own,little,little,2473,18,furniture/equipment
365,36,male,2,own,little,NA,1542,12,business
366,27,male,2,own,little,NA,3850,18,car
367,22,female,2,rent,little,little,3650,18,furniture/equipment
368,42,male,2,own,little,little,3446,36,furniture/equipment
369,40,female,2,rent,little,moderate,3001,18,furniture/equipment
370,36,male,2,own,NA,NA,3079,36,car
371,33,male,2,own,little,NA,6070,18,radio/TV
372,23,female,2,rent,little,NA,2146,10,furniture/equipment
373,63,male,3,free,NA,NA,13756,60,car
374,60,female,3,free,moderate,moderate,14782,60,vacation/others
375,37,female,2,rent,little,little,7685,48,business
376,34,male,2,own,little,NA,2320,18,radio/TV
377,36,male,2,free,NA,NA,846,7,radio/TV
378,57,male,3,free,little,moderate,14318,36,car
379,52,female,1,own,moderate,NA,362,6,car
380,39,male,2,own,NA,little,2212,20,furniture/equipment
381,38,female,3,free,little,moderate,12976,18,car
382,25,female,2,rent,NA,NA,1283,22,car
383,26,male,2,own,little,rich,1330,12,car
384,26,male,1,own,moderate,NA,4272,30,business
385,25,female,2,own,little,NA,2238,18,radio/TV
386,21,female,2,rent,NA,NA,1126,18,radio/TV
387,40,male,3,own,little,moderate,7374,18,furniture/equipment
388,27,male,2,own,quite rich,moderate,2326,15,business
389,27,female,2,own,little,NA,1449,9,business
390,30,male,3,own,little,NA,1820,18,car
391,19,female,1,rent,rich,moderate,983,12,furniture/equipment
392,39,male,3,free,little,little,3249,36,car
393,31,female,2,own,little,little,1957,6,radio/TV
394,31,male,3,own,little,NA,2406,9,furniture/equipment
395,32,male,2,rent,moderate,moderate,11760,39,education
396,55,female,3,free,little,little,2578,12,furniture/equipment
397,46,male,2,own,little,little,2348,36,furniture/equipment
398,46,male,2,rent,little,moderate,1223,12,car
399,43,female,1,own,rich,NA,1516,24,radio/TV
400,39,male,2,own,little,NA,1473,18,radio/TV
401,28,male,2,own,NA,moderate,1887,18,business
402,27,male,2,own,little,NA,8648,24,business
403,27,male,1,own,little,NA,802,14,car
404,43,male,2,own,NA,moderate,2899,18,car
405,22,male,2,own,little,moderate,2039,24,radio/TV
406,43,male,2,own,NA,NA,2197,24,car
407,27,male,2,own,little,little,1053,15,radio/TV
408,26,male,3,own,quite rich,NA,3235,24,radio/TV
409,28,male,2,own,quite rich,rich,939,12,car
410,20,female,2,own,little,moderate,1967,24,radio/TV
411,35,male,3,own,little,NA,7253,33,car
412,42,male,3,own,little,NA,2292,12,business
413,40,male,1,rent,quite rich,NA,1597,10,car
414,35,female,2,own,NA,little,1381,24,car
415,35,male,2,own,little,NA,5842,36,car
416,33,male,1,own,little,little,2579,12,car
417,23,female,2,rent,NA,little,8471,18,education
418,31,female,3,own,quite rich,NA,2782,21,car
419,33,female,2,own,NA,moderate,1042,18,car
420,20,female,2,rent,rich,NA,3186,15,car
421,30,male,2,own,NA,moderate,2028,12,car
422,47,male,1,own,little,moderate,958,12,car
423,34,male,3,own,moderate,NA,1591,21,furniture/equipment
424,25,female,2,own,NA,moderate,2762,12,furniture/equipment
425,21,male,2,rent,little,moderate,2779,18,car
426,29,male,2,own,little,NA,2743,28,radio/TV
427,46,male,2,own,rich,NA,1149,18,radio/TV
428,20,male,2,own,little,NA,1313,9,furniture/equipment
429,55,female,0,free,little,little,1190,18,repairs
430,74,male,1,own,little,NA,3448,5,business
431,29,male,3,own,little,moderate,11328,24,vacation/others
432,36,male,3,free,little,little,1872,6,furniture/equipment
433,33,male,2,own,little,NA,2058,24,repairs
434,25,male,2,own,little,little,2136,9,furniture/equipment
435,25,male,2,own,NA,moderate,1484,12,radio/TV
436,23,male,1,rent,quite rich,NA,660,6,repairs
437,37,female,2,own,rich,NA,1287,24,car
438,65,male,0,own,little,little,3394,42,repairs
439,26,female,0,own,little,rich,609,12,business
440,39,male,3,own,little,NA,1884,12,car
441,30,female,2,own,little,little,1620,12,furniture/equipment
442,29,male,2,own,little,moderate,2629,20,vacation/others
443,41,male,1,own,little,NA,719,12,education
444,30,female,3,own,little,moderate,5096,48,furniture/equipment
445,41,female,1,rent,NA,NA,1244,9,education
446,34,female,2,own,little,little,1842,36,car
447,35,male,2,own,little,moderate,2576,7,radio/TV
448,55,female,3,own,NA,rich,1424,12,furniture/equipment
449,61,male,2,own,rich,moderate,1512,15,repairs
450,30,male,3,own,NA,NA,11054,36,car
451,29,female,2,own,little,NA,518,6,radio/TV
452,34,male,2,own,little,NA,2759,12,furniture/equipment
453,35,male,3,own,little,NA,2670,24,car
454,31,male,2,own,little,little,4817,24,car
455,29,female,3,own,little,NA,2679,24,car
456,36,male,2,rent,little,little,3905,11,car
457,35,male,2,free,little,little,3386,12,car
458,27,female,2,own,little,little,343,6,domestic appliances
459,32,male,2,own,little,NA,4594,18,radio/TV
460,37,male,2,own,little,little,3620,36,furniture/equipment
461,36,male,2,own,little,little,1721,15,car
462,34,female,3,rent,little,moderate,3017,12,furniture/equipment
463,38,male,2,own,NA,moderate,754,12,education
464,34,male,2,own,little,NA,1950,18,business
465,63,male,2,own,little,little,2924,24,car
466,29,female,1,rent,little,little,1659,24,radio/TV
467,32,male,2,own,NA,NA,7238,48,radio/TV
468,26,female,2,own,little,NA,2764,33,business
469,35,male,1,own,little,NA,4679,24,car
470,22,male,2,rent,moderate,moderate,3092,24,radio/TV
471,23,female,2,own,little,little,448,6,education
472,28,male,1,own,little,little,654,9,car
473,36,male,3,own,NA,NA,1238,6,education
474,33,male,2,own,little,moderate,1245,18,radio/TV
475,26,female,2,rent,little,little,3114,18,furniture/equipment
476,24,male,2,own,quite rich,NA,2569,39,car
477,25,male,2,own,little,rich,5152,24,radio/TV
478,39,male,1,own,moderate,moderate,1037,12,business
479,44,male,2,own,little,little,1478,15,furniture/equipment
480,23,female,1,own,little,moderate,3573,12,radio/TV
481,26,male,2,own,little,moderate,1201,24,car
482,57,female,2,rent,rich,little,3622,30,furniture/equipment
483,30,female,2,own,rich,NA,960,15,furniture/equipment
484,44,male,2,own,quite rich,NA,1163,12,car
485,47,male,3,own,little,moderate,1209,6,car
486,52,male,2,own,little,NA,3077,12,radio/TV
487,62,female,2,free,little,NA,3757,24,car
488,35,male,1,rent,moderate,NA,1418,10,car
489,26,male,2,rent,little,NA,3518,6,car
490,26,male,2,own,little,NA,1934,12,radio/TV
491,42,female,3,free,little,moderate,8318,27,business
492,27,female,2,own,moderate,NA,1237,6,radio/TV
493,38,male,2,own,NA,moderate,368,6,radio/TV
494,39,male,1,rent,little,little,2122,12,car
495,20,male,2,own,NA,little,2996,24,furniture/equipment
496,29,male,3,rent,moderate,moderate,9034,36,furniture/equipment
497,40,male,2,own,little,NA,1585,24,furniture/equipment
498,32,male,1,own,little,moderate,1301,18,radio/TV
499,28,male,2,own,moderate,rich,1323,6,car
500,27,female,2,own,little,little,3123,24,car
501,42,male,2,free,little,little,5493,36,car
502,49,male,2,own,moderate,rich,1126,9,radio/TV
503,38,male,2,own,moderate,moderate,1216,24,radio/TV
504,24,female,2,rent,little,little,1207,24,car
505,27,male,1,own,NA,NA,1309,10,car
506,36,male,2,own,quite rich,rich,2360,15,car
507,34,male,3,own,moderate,moderate,6850,15,car
508,28,male,2,own,little,NA,1413,24,radio/TV
509,45,male,3,own,moderate,NA,8588,39,car
510,26,male,2,own,little,little,759,12,car
511,32,male,3,free,little,NA,4686,36,car
512,26,male,2,rent,little,rich,2687,15,business
513,20,male,2,rent,little,moderate,585,12,radio/TV
514,54,male,2,own,NA,NA,2255,24,car
515,37,female,2,own,little,little,609,6,car
516,40,male,1,own,little,little,1361,6,car
517,23,female,2,rent,little,NA,7127,36,furniture/equipment
518,43,male,2,own,moderate,little,1203,6,car
519,36,male,2,free,NA,NA,700,6,radio/TV
520,44,male,2,free,little,NA,5507,24,repairs
521,24,female,2,own,little,little,3190,18,radio/TV
522,53,male,2,free,little,little,7119,48,furniture/equipment
523,23,female,2,own,moderate,NA,3488,24,car
524,26,female,1,own,little,moderate,1113,18,radio/TV
525,30,male,2,own,little,moderate,7966,26,car
526,31,female,2,own,moderate,NA,1532,15,education
527,42,male,1,own,little,NA,1503,4,radio/TV
528,31,male,2,rent,little,little,2302,36,radio/TV
529,41,male,1,own,little,little,662,6,car
530,32,male,2,own,little,moderate,2273,36,education
531,28,female,2,rent,moderate,moderate,2631,15,car
532,41,male,2,rent,little,NA,1503,12,car
533,26,male,2,own,moderate,NA,1311,24,radio/TV
534,25,male,2,own,NA,NA,3105,24,radio/TV
535,33,male,2,rent,little,rich,2319,21,education
536,75,female,3,own,NA,little,1374,6,car
537,37,female,2,own,little,moderate,3612,18,furniture/equipment
538,42,male,3,free,little,little,7763,48,car
539,45,female,1,own,little,rich,3049,18,furniture/equipment
540,23,male,2,rent,little,moderate,1534,12,radio/TV
541,60,male,2,free,little,NA,2032,24,car
542,31,male,2,own,NA,little,6350,30,furniture/equipment
543,34,male,1,own,little,rich,2864,18,furniture/equipment
544,61,male,1,own,little,NA,1255,12,car
545,43,male,2,free,little,little,1333,24,car
546,37,female,2,own,little,NA,2022,24,car
547,32,male,2,own,little,NA,1552,24,radio/TV
548,24,female,1,own,little,little,626,12,radio/TV
549,35,male,2,free,NA,NA,8858,48,car
550,23,female,2,own,NA,NA,996,12,repairs
551,45,male,1,own,quite rich,NA,1750,6,radio/TV
552,34,male,2,own,little,little,6999,48,radio/TV
553,27,male,2,own,moderate,moderate,1995,12,car
